date,total_pnl,median_pnl,pnl_std,win_rate,trade_count,avg_size_usd,total_volume,long_count,short_count,unique_traders,avg_fee,long_short_ratio,avg_pnl_per_trade,rolling_pnl_7d,value,classification,sentiment_binary,month
2023-12-27,-704.8892269999999,0.0,153.67464419092525,0.14285714285714285,28,6121.823571428571,171411.06,15,13,1,1.53045525,1.1538461537573965,-25.174615249999995,149.6232062857143,73,Greed,Greed,Dec
2023-12-28,-970.730876,-13.250952,55.01514381004261,0.0,23,4352.923913043478,100117.25,10,13,1,1.0882304347826086,0.7692307691715976,-42.20569026086957,-12.300101999999972,73,Greed,Greed,Dec
2023-12-29,508.92214299999995,0.0,78.11192586732814,0.3,50,11391.1944,569559.72,31,19,1,2.8477980200000004,1.6315789472825484,10.178442859999999,-16.341424714285715,65,Greed,Greed,Dec
2023-12-30,354.998648,0.0,68.40190063585914,0.4423076923076923,52,13510.58096153846,702550.21,20,32,1,3.377644730769231,0.6249999999804688,6.826897076923077,14.110857142857144,68,Greed,Greed,Dec
2024-01-01,-129.53146,0.0,85.84776860469921,0.05555555555555555,18,14679.973888888888,264239.52999999997,10,8,1,3.6699926111111107,1.24999999984375,-7.196192222222223,-25.384594857142854,65,Greed,Greed,Jan
2024-01-02,783.979116,0.0,134.42834386429288,0.47058823529411764,17,7138.1611764705885,121348.74,9,8,1,1.7845397647058823,1.124999999859375,46.11641858823529,-57.47614342857144,71,Greed,Greed,Jan
2024-01-03,866.015507,0.0,50.415365667933756,0.417910447761194,67,5888.050149253731,394499.36,32,35,1,1.4720121044776118,0.9142857142595919,12.925604582089552,101.2519787142857,70,Greed,Greed,Jan
2024-01-04,-67.60364,-0.0786,29.544005214373353,0.0,5,19958.508,99792.54000000001,2,3,1,4.989626400000001,0.6666666664444444,-13.520728,192.29277685714283,68,Greed,Greed,Jan
2024-01-05,164.141565,0.0,60.7235758141571,0.19696969696969696,66,25817.31303030303,1703942.66,31,35,1,6.4543278636363635,0.8857142856889797,2.486993409090909,354.4174112857142,72,Greed,Greed,Jan
2024-01-06,135.58166400000002,0.0,37.338371573804935,0.45454545454545453,22,13569.154545454547,298521.4,11,11,1,3.3922882727272725,0.9999999999090909,6.16280290909091,301.0830571428572,70,Greed,Greed,Jan
2024-01-07,-835.681235,0.0,34.037905927281535,0.09278350515463918,97,10812.887216494846,1048850.06,52,45,1,2.7032212783505156,1.1555555555298767,-8.615270463917525,130.98593099999997,71,Greed,Greed,Jan
2024-01-08,-269.874439,0.0,122.41963598502315,0.25,128,11894.159609375,1522452.43,40,88,1,2.9735395625,0.4545454545402892,-2.1083940546875,110.93693399999997,71,Greed,Greed,Jan
2024-01-09,-826.349863,0.0,214.1803231936485,0.2571428571428571,70,12429.313857142857,870051.97,28,42,1,2.9144704,0.6666666666507937,-11.804998042857143,-119.11006300000005,76,Extreme Greed,Greed,Jan
2024-01-10,-1517.091342,0.0,119.7894328095249,0.21243523316062177,193,10660.515440414507,2057479.48,92,101,1,2.2489371243523317,0.9108910890998921,-7.860576901554404,-459.55389857142865,73,Greed,Greed,Jan
